FileName : TotalLines : CommentLines
Test : 16 : 0
annotation.Apple : 43 : 0
annotation.FruitColor : 12 : 0
annotation.FruitInfoUtil : 33 : 0
annotation.FruitName : 10 : 0
annotation.FruitProvider : 12 : 0
annotation.Main : 22 : 2
classloader.ClassTest : 35 : 12
classloader.Main : 20 : 4
classloader.ReflectSkipType : 43 : 13
classloader.Test : 8 : 0
collection.Main : 24 : 1
collection.Student : 20 : 0
designpattern.command.Coder : 81 : 0
designpattern.command.Command : 6 : 0
designpattern.command.DownVoiceCommand : 23 : 0
designpattern.command.MacbookPro : 16 : 0
designpattern.command.Main : 46 : 0
designpattern.command.MusicPlayer : 47 : 0
designpattern.command.OpenChromeCommand : 16 : 0
designpattern.command.OpenNeteaseMusicCommand : 17 : 0
designpattern.command.UpVoiceCommand : 23 : 0
designpattern.factory.abstractfactory.BaseGF : 9 : 0
designpattern.factory.abstractfactory.HangzhouGF : 11 : 0
designpattern.factory.abstractfactory.HangzhouGFFactory : 15 : 0
designpattern.factory.abstractfactory.HangzhouGFFather : 11 : 0
designpattern.factory.abstractfactory.IGFFactory : 6 : 0
designpattern.factory.abstractfactory.IGFFather : 6 : 0
designpattern.factory.abstractfactory.Main : 14 : 0
designpattern.factory.factory.BaseGF : 9 : 0
designpattern.factory.factory.HangzhouGF : 11 : 0
designpattern.factory.factory.HangzhouGFFactory : 10 : 0
designpattern.factory.factory.IGFFactory : 16 : 11
designpattern.factory.factory.Main : 18 : 0
designpattern.factory.factory.NingboGF : 11 : 0
designpattern.factory.factory.NingboGFFactory : 9 : 0
designpattern.factory.factory.WenzhouGF : 11 : 0
designpattern.factory.factory.WenzhouGFFactory : 10 : 0
designpattern.factory.simplefactory.BaseGF : 9 : 0
designpattern.factory.simplefactory.GFFactory : 15 : 0
designpattern.factory.simplefactory.GFType : 7 : 0
designpattern.factory.simplefactory.HangzhouGF : 11 : 0
designpattern.factory.simplefactory.Main : 18 : 0
designpattern.factory.simplefactory.NingboGF : 11 : 0
designpattern.factory.simplefactory.WenzhouGF : 11 : 0
designpattern.observer.CurrentConditionsDisplay : 29 : 0
designpattern.observer.Display : 5 : 0
designpattern.observer.Observer : 5 : 0
designpattern.observer.StatisticsDisplay : 24 : 0
designpattern.observer.Subject : 7 : 0
designpattern.observer.WeatherData : 54 : 0
designpattern.observer.WeatherDataStation : 14 : 0
designpattern.proxy.CoderDynamicProxy : 21 : 0
designpattern.proxy.CoderProxy : 30 : 0
designpattern.proxy.DynamicClient : 17 : 0
designpattern.proxy.ICoder : 6 : 0
designpattern.proxy.JavaCoder : 22 : 0
designpattern.proxy.StaticProxyMain : 13 : 1
designpattern.singleton.Main : 14 : 2
designpattern.singleton.Singleton : 31 : 0
designpattern.singleton.StaticInterSingleton : 15 : 0
designpattern.strategy.Duck : 19 : 0
designpattern.strategy.FlyBehavior : 5 : 0
designpattern.strategy.FlyNoWay : 8 : 0
designpattern.strategy.FlyRocketPowered : 11 : 0
designpattern.strategy.FlyWithWings : 10 : 0
designpattern.strategy.MallardDuck : 14 : 0
designpattern.strategy.MiniDuckSimulator : 17 : 0
designpattern.strategy.ModelDuck : 15 : 0
designpattern.strategy.QuackBehavior : 5 : 0
designpattern.strategy.QuackNoWay : 11 : 0
designpattern.strategy.QuackWithGaGa : 12 : 0
designpattern.strategy.QuackWithGuaGua : 11 : 0
fastjson.FastjsonTest : 13 : 0
generics.exercise1.Automobile : 11 : 0
generics.exercise1.Holder4 : 21 : 0
generics.exercise1.Holder4Child : 23 : 0
generics.exercise1.Main : 18 : 3
generics.sample1.Automobile : 11 : 0
generics.sample1.Holder1 : 14 : 0
generics.sample1.Main : 17 : 3
generics.sample2.Automobile : 11 : 0
generics.sample2.Holder2 : 14 : 0
generics.sample2.Main : 17 : 3
generics.sample3.Automobile : 11 : 0
generics.sample3.Holder3 : 14 : 0
generics.sample3.Main : 17 : 3
httpclient.HttpRequest : 104 : 24
httpclient.test : 21 : 0
io.FileStreamTest : 88 : 28
io.ObjectStreamTest : 98 : 6
kafka.ConsumerTest : 32 : 1
kafka.ProducerTest : 42 : 4
practice.CountTest : 64 : 0
practice.Main : 44 : 22
practice.OnlineTest : 22 : 2
practice.ReadFileTest : 39 : 0
reflect.Main : 106 : 3
reflect.UserBean : 34 : 0
threadpool.CachedThreadPool : 41 : 25
threadpool.FixedThreadPoolTest : 54 : 38
threadpool.MyCommand : 19 : 0
threadpool.ScheduledThreadPoolTest : 53 : 22
threadpool.SingleThreadExecutorTest : 23 : 9
threadpool.ThreadPoolExecutorTest : 54 : 0

Total Files: 105       Total Lines: 2427       Total Comments: 242
